time,method,url,status,mime_type,bytes,user_agent
2025-11-13 11:04:56.061000+00:00,GET,http://10.60.36.1/~eyavuz/index.html,304,text/html,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:55.511000+00:00,GET,http://10.60.36.1/~eyavuz/team.html?id=2,200,text/html,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:54.652000+00:00,GET,http://10.60.36.1/~eyavuz/player.html?id=38,200,text/html,4574,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:52.626000+00:00,GET,http://10.60.36.1/~eyavuz/team.html?id=2,200,text/html,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:48.716000+00:00,GET,http://10.60.36.1/~eyavuz/player.html?id=35,200,text/html,4574,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:40.019000+00:00,GET,http://10.60.36.1/~eyavuz/team.html?id=2,200,text/html,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:13.208000+00:00,GET,http://10.60.36.1/~eyavuz/index.html,304,text/html,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:12.487000+00:00,GET,http://10.60.36.1/~eyavuz/team.html?id=1,200,text/html,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:11.090000+00:00,GET,http://10.60.36.1/~eyavuz/player.html?id=25,200,text/html,4574,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:07.661000+00:00,GET,http://10.60.36.1/~eyavuz/team.html?id=1,200,text/html,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:06.284000+00:00,GET,http://10.60.36.1/~eyavuz/player.html?id=20,200,text/html,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:03.742000+00:00,GET,http://10.60.36.1/~eyavuz/team.html?id=1,200,text/html,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:00.565000+00:00,GET,http://10.60.36.1/~eyavuz/player.html?id=28,200,text/html,4574,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:03:50.374000+00:00,GET,http://10.60.36.1/~eyavuz/team.html?id=1,200,text/html,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:03:45.004000+00:00,GET,http://10.60.36.1/~eyavuz/index.html,304,text/html,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
